FID,roof,road,watr,conc,Veg,dry,irr,H,W
89,0.4512,0,0,0.056,0.336,0.1376,0.0192,2.07552,16.464
90,0.6832,0,0,0.0864,0.192,0.0384,0,3.14272,9.504
91,0.0928,0,0,0.52,0.184,0.2,0.0032,0.42688,27.216
92,0.695384615,0,0,0.075384615,0.083076923,0.146153846,0,3.198769231,9.138461538
93,0.3472,0,0,0.16,0.1184,0.3664,0.008,1.59712,19.584
94,0.3504,0,0,0.2416,0.184,0.224,0,1.61184,19.488
95,0.4304,0,0,0.0944,0.152,0.3232,0,1.97984,17.088
96,0.0848,0,0,0.0768,0.0512,0.7872,0,0.39008,27.456
97,0.078461538,0,0,0.169230769,0.093846154,0.658461538,0,0.360923077,27.64615385
98,0.2304,0,0,0.2368,0.1936,0.3392,0,1.05984,23.088
99,0.0736,0,0,0.5024,0.2784,0.1456,0,0.33856,27.792
100,0.3792,0,0,0.1344,0.3344,0.1168,0.0352,1.74432,18.624
101,0.1024,0,0,0.4192,0.0912,0.3872,0,1.024,26.928
102,0,0,0,0.8864,0.0416,0.072,0,0,30
103,0,0,0,0.529230769,0.249230769,0.221538462,0,0,30
104,0.1984,0,0,0.1792,0.1344,0.488,0,1.984,24.048
105,0.5888,0,0,0.1072,0.0384,0.2656,0,5.888,12.336
106,0.1664,0,0,0.0688,0.4928,0.272,0,1.664,25.008
107,0,0,0,0.8096,0.096,0.0944,0,0,30
108,0,0,0.26,0.463076923,0.152307692,0.124615385,0,0,30
109,0.7904,0,0,0.2096,0,0,0,7.904,6.288
110,0.8752,0,0,0.1248,0,0,0,8.752,3.744
111,0.6144,0,0,0.2368,0.0848,0.064,0,6.144,11.568
112,0.224615385,0,0,0.358461538,0.092307692,0.324615385,0,2.246153846,23.26153846
113,0.5216,0,0,0.2352,0.1248,0.1184,0,5.216,14.352
114,0.0416,0,0,0.6688,0.0944,0.1952,0,0.416,28.752
115,0,0,0.0016,0.1536,0.6848,0.16,0,0,30
116,0.3536,0,0,0.1072,0.216,0.3232,0,3.536,19.392
117,0.887692308,0,0,0.073846154,0.001538462,0.036923077,0,8.876923077,3.369230769
118,0.6,0,0,0.2208,0.008,0.1712,0,6,12
119,0.3424,0,0,0.3856,0.0496,0.2224,0,3.424,19.728
120,0.5232,0,0,0.1616,0.1696,0.1456,0,5.232,14.304
121,0.344,0,0,0.1968,0.1968,0.2624,0,3.44,19.68
122,0.550769231,0,0,0.08,0.207692308,0.161538462,0,5.507692308,13.47692308
123,0.2336,0,0,0.1056,0.5312,0.1296,0,2.336,22.992
124,0.008,0,0,0.1488,0.5136,0.3296,0,0.08,29.76
125,0,0,0.0016,0.0896,0.6224,0.2864,0,0,30
126,0,0,0.0016,0.0416,0.4272,0.5296,0,0,30
127,0,0,0.001538462,0.032307692,0.304615385,0.661538462,0,0,30
128,0,0,0,0.024,0.0528,0.9232,0,0,30
129,0,0,0.0064,0.096,0.3216,0.576,0,0,30
130,0,0,0,0.216,0.3424,0.4416,0,0,30
131,0,0,0.033846154,0.216923077,0.42,0.329230769,0,0,30
