datetime,Ta,RH,WS,P,Kd,Ld
2/01/2011 19:30,18.7,48,7.777777778,1015.6,4.126333333,303.1886667
2/01/2011 20:00,17.7,53,6.666666667,1015.8,0.222666667,301.403
2/01/2011 20:30,16.7,59,5.833333333,1016.3,0,300.2683333
2/01/2011 21:00,16.3,62,4.722222222,1016.4,0,299.6513333
2/01/2011 21:30,15.7,63,5,1016.4,0,299.6623333
2/01/2011 22:00,15.3,63,3.055555556,1016.5,0,299.2053333
2/01/2011 22:30,14.8,70,2.5,1016.5,0,298.683
2/01/2011 23:00,15.4,67,3.611111111,1016.4,0,297.7306667
2/01/2011 23:30,15.4,66,4.722222222,1016.1,0,298.0013333
3/01/2011 0:00,15.4,66,4.166666667,1015.9,0,297.3603333
3/01/2011 0:30,15,66,4.166666667,1015.7,0,296.8096667
3/01/2011 1:00,15.1,67,4.166666667,1015.4,0,297.1716667
3/01/2011 1:30,14.8,68,5,1015.2,0,296.6373333
3/01/2011 2:00,15,67,5,1015.1,0,296.2696667
3/01/2011 2:30,14.9,63,3.055555556,1014.9,0,295.051
3/01/2011 3:00,14.4,62,4.166666667,1014.6,0,293.7786667
3/01/2011 3:30,14.2,63,4.722222222,1014.5,0,292.074
3/01/2011 4:00,13.9,63,4.722222222,1014.6,0,290.8496667
3/01/2011 4:30,13.7,63,4.722222222,1014.9,0.584666667,290.6423333
3/01/2011 5:00,13.7,62,4.722222222,1015.3,13.114,290.3256667
3/01/2011 5:30,13.7,62,5,1015.6,79.98066667,290.9263333
3/01/2011 6:00,14.4,58,5,1015.8,180.1436667,292.7413333
3/01/2011 6:30,15.4,54,7.222222222,1016,292.721,295.3426667
3/01/2011 7:00,16.1,51,8.333333333,1016,407.0776667,298.3883333
3/01/2011 7:30,17.1,49,8.611111111,1016.6,521.1183333,300.7636667
3/01/2011 8:00,18.2,45,6.666666667,1017.2,630.1056667,303.8103333
3/01/2011 8:30,19,43,6.111111111,1017.3,732.5666667,307.169
3/01/2011 9:00,19.8,42,5,1017.4,826.566,310.1763333
3/01/2011 9:30,20.7,39,6.666666667,1017.4,910.2053333,312.097
3/01/2011 10:00,21.5,35,5.833333333,1017,981.0713333,315.337
3/01/2011 10:30,22.5,33,4.166666667,1016.8,1037.373333,318.1046667
3/01/2011 11:00,23.6,33,3.055555556,1016.6,1082.253667,319.5163333
3/01/2011 11:30,23.8,32,3.055555556,1016.3,1109.624667,321.3906667
3/01/2011 12:00,24.4,31,4.722222222,1016.1,1121.811,323.6983333
3/01/2011 12:30,25.2,30,3.055555556,1015.7,1117.995333,324.5986667
3/01/2011 13:00,26.3,28,4.166666667,1015.1,1096.696,325.6346667
3/01/2011 13:30,25.7,28,5,1014.7,1058.052,328.0143333
3/01/2011 14:00,26.1,25,5,1014.3,1005.068333,328.6866667
3/01/2011 14:30,26.9,23,4.166666667,1014,939.461,327.9556667
3/01/2011 15:00,26.4,27,4.166666667,1013.7,863.668,324.515
3/01/2011 15:30,26,26,4.722222222,1013.4,775.7343333,322.4126667
3/01/2011 16:00,26.2,26,5,1013.1,678.2133333,319.6176667
3/01/2011 16:30,25.7,26,6.111111111,1013,569.9463333,319.104
3/01/2011 17:00,25.1,26,4.722222222,1013,459.574,317.089
3/01/2011 17:30,24.4,29,5.833333333,1013.1,344.3853333,315.1933333
3/01/2011 18:00,23.6,31,6.111111111,1013.2,230.8763333,310.5306667
3/01/2011 18:30,22.1,36,6.666666667,1013.3,123.1113333,305.4596667
3/01/2011 19:00,20.3,41,7.222222222,1013.1,37.05066667,301.059
3/01/2011 19:30,18.8,48,6.666666667,1013.3,3.809666667,297.1516667
3/01/2011 20:00,17.6,53,6.111111111,1013.8,0,294.457
3/01/2011 20:30,16.7,57,6.666666667,1014.1,0,293.7083333
3/01/2011 21:00,16,58,3.611111111,1014,0,293.0546667
3/01/2011 21:30,15.9,59,5,1013.9,0,291.0733333
3/01/2011 22:00,15.6,62,4.722222222,1014.1,0,290.2166667
3/01/2011 22:30,15.2,65,4.722222222,1013.8,0,291.5593333
3/01/2011 23:00,15.4,65,5,1013.9,0,294.2566667
3/01/2011 23:30,15.2,67,6.666666667,1013.8,0,295.5053333
4/01/2011 0:00,15.3,67,5.833333333,1013.5,0,295.3763333
4/01/2011 0:30,15.4,67,2.5,1012.9,0,296.8433333
4/01/2011 1:00,16.1,63,2.5,1012.5,0,298.5256667
4/01/2011 1:30,16,61,3.055555556,1012.3,0,297.391
4/01/2011 2:00,16.2,59,2.222222222,1011.7,0,296.241
4/01/2011 2:30,17,55,2.222222222,1011.6,0,296.217
4/01/2011 3:00,16.6,56,2.222222222,1011.5,0,297.7906667
4/01/2011 3:30,16.5,54,1.111111111,1011.7,0,298.0443333
4/01/2011 4:00,15.8,55,1.388888889,1011.7,0,300.1706667
4/01/2011 4:30,16,54,2.222222222,1011.8,1.130333333,301.1903333
4/01/2011 5:00,15.3,56,1.388888889,1012.2,12.71,303.631
4/01/2011 5:30,16.5,52,3.055555556,1012.4,66.81533333,304.3413333
4/01/2011 6:00,15.7,59,1.111111111,1012.6,165.7506667,308.047
4/01/2011 6:30,17.4,49,2.222222222,1012.6,242.52,311.781
4/01/2011 7:00,18.5,46,1.111111111,1012.5,321.053,317.235
4/01/2011 7:30,19.6,43,2.222222222,1012.5,452.8793333,321.0153333
4/01/2011 8:00,20.8,38,0.555555556,1012.6,477.576,327.4076667
4/01/2011 8:30,22.2,34,1.111111111,1012.6,545.3853333,330.2513333
4/01/2011 9:00,22.5,35,2.222222222,1012.7,616.7906667,332.2393333
4/01/2011 9:30,23.1,33,1.388888889,1012.4,640.531,334.45
4/01/2011 10:00,24.3,31,2.222222222,1012.5,831.3886667,334.5556667
4/01/2011 10:30,25.2,30,2.5,1012.3,880.8436667,336.526
4/01/2011 11:00,26.2,26,1.111111111,1011.9,917.744,339.5276667
4/01/2011 11:30,26.8,24,1.388888889,1011.6,821.7646667,343.1213333
4/01/2011 12:00,27.4,20,3.611111111,1011.1,632.746,342.851
4/01/2011 12:30,27.8,27,4.722222222,1010.7,665.2736667,341.431
4/01/2011 13:00,27,30,6.111111111,1010.5,684.6993333,338.3506667
4/01/2011 13:30,27.5,27,4.722222222,1010,904.2073333,326.4636667
4/01/2011 14:00,26.4,24,4.166666667,1009.8,1034.418667,316.9533333
4/01/2011 14:30,28.3,20,3.611111111,1009.4,957.7226667,315.6083333
4/01/2011 15:00,28.7,14,4.166666667,1009.2,875.9863333,315.4376667
4/01/2011 15:30,28.7,22,6.111111111,1009.1,788.5733333,313.2843333
4/01/2011 16:00,28,22,5,1009.1,674.5463333,312.978
4/01/2011 16:30,27.8,22,5,1009,590.2876667,311.493
4/01/2011 17:00,27.4,14,4.722222222,1008.6,443.3403333,310.8816667
4/01/2011 17:30,27.6,16,4.166666667,1008.6,356.7503333,309.5416667
