station,Ts_obs
1.0,51.0779911821
2.0,40.3480302915
3.0,43.988922951
4.0,45.3795572169
5.0,37.4093854848
6.0,38.6570077744
7.0,37.3073588486
8.0,44.7883811538
9.0,44.7547167514
10.0,48.1195657448
11.0,50.1076510888
12.0,44.69036759
13.0,47.830403208
14.0,50.0968419311
15.0,45.7249136857
16.0,46.3678893882
17.0,44.3428779745
18.0,49.2332290742
19.0,44.3321563907
20.0,38.0514359542
21.0,46.9843061342
22.0,50.122187771
23.0,47.4846219163
24.0,36.587424392
25.0,40.5476689792
26.0,40.4302012283
27.0,34.7898692379
28.0,44.9623755599
29.0,45.8275359858
30.0,40.6143771081
