station,Ts_obs
1.0,23.1034098361
2.0,20.6889645019
3.0,22.3170743048
4.0,21.7595815223
5.0,23.1462780551
6.0,22.8563342018
7.0,23.3847551637
8.0,21.2885059863
9.0,22.4212326895
10.0,22.3735230076
11.0,22.0676357859
12.0,22.6281493692
13.0,22.4146568947
14.0,22.3591838492
15.0,21.6874616095
16.0,21.9448367018
17.0,22.8420499613
18.0,22.3727969026
19.0,22.1226707926
20.0,21.510485273
21.0,22.9427596016
22.0,23.296877422
23.0,19.0089425285
24.0,21.8319076878
25.0,21.8581303045
26.0,20.3959798527
27.0,21.6791343201
28.0,22.2812470283
29.0,19.6472171209
30.0,19.9200649791
